City,Ideal_duration,Hotel_Name,Hotel_Price,Hotel_Rating,City_desc
trivandrum,,The South Gate By WB Hotels,2111,3.9,
gwalior,01-Feb,The Moziac Hotel,2116,4,"[' Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.""]"
gwalior,01-Feb,THE PRABHA INTERNATIONAL HOTEL & CATERERS,2116,4,"[' Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.""]"
pune,01-Mar,Hotel Corporate Stay,2123,4,"[' Pune is a bustling metropolis of Maharashtra, ranked number one in India in the ease of living. Often referred to as the Oxford of the East, it is a hub of diverse people and activities and is in rapidly growing into one of the top metropolitan cities in the country. Pune is a city that perfectly blends modernity with tradition sprinkled with colonial-era charm, and it deserves the title of being the cultural capital of Maharashtra.', '', ' Behind the modern commercialized façade of Pune lies the roots of ancient Poona, which gave birth to the Maratha Empire and had a very crucial role to play in the history of India’s independence. Pune is globally known for the Osho Ashram which attracts followers from all over the world. Dotted with palaces and temples, the most important of these are the Shaniwar Wada palace and the Aga Khan Palace. To experience the grandiose of Maratha architecture coupled with stunning views of the Sahyadris, the Singhagad fort is a must-visit tourist attraction. Due to its alluring location on the Bhuleshwar Range of the Sahyadri Mountains, it offers excellent trekking trails to the top of the cliffs. While Pune has plenty of eating options, ranging from street food to high-class restaurants where one can enjoy all kinds of cuisines, it is renowned for its bakery items. Ranging from a variety of cookies, pastries to even cakes, don’t forget to try out Pune’s mouth-watering desserts.']"
ghaziabad,,Hotel The Grand Palace,2131,4.1,
ghaziabad,,Hotel The Grand Palace,2132,4.1,
jamshedpur,,Treebo Trend Pal Comfort - Hotel in Jamshedpur,2142,4.2,
gwalior,01-Feb,THE PRABHA INTERNATIONAL HOTEL & CATERERS,2158,4,"[' Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.""]"
ranchi,,The Cennet Ranchi,2160,4.4,
varkala,01-Feb,SS BeachResort,2160,4,"["" Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru. Varkala is also known for Jardana Swami Temple, also known as Dakshin Kashi."", '', ' Varkala has some of the best pristine beaches, hills, lakes, forts, lighthouses, natural fisheries and springs - all of this together makes this town a little paradise. You will also find a lot of shops with signboards in Hebrew selling Yoga mats, oxidised silver jewellery and harem pants made of cotton. Ayurvedic spas, affordable resorts, hostels, clean beaches make it a must-visit city of Kerala.']"
pondicherry,02-Mar,Villa Sentosa,2168,4.1,"[' Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities and French architecture, making it a dreamy escape that offers the best of both worlds.', '', ' The streets of the French Quarter of Pondicherry, also known as White Town, are dotted with charming mustard-yellow colonial structures with bougainvillaea laden walls. These are interspersed with cosy cafes and chic boutiques that offer delectable French cuisine and beverages. Simply strolling down these streets, can give the traveller an insight into the fairytale charm of Pondicherry.Topped with authentic French bakeries, bohemian stores and cobble-stoned paths that are delightful for a leisurely stroll or a bicycle ride, Pondicherry has a lot to offer. So head on down to this dream town of the Indian Coast and chug a few beers (at the Union Territory prices; bid adieu to state taxes) or just read a book in one of the quaint cafes.Come explore the boulevards and rues (the French word for streets) of Pondicherry that will ultimately take you down to the gorgeous seaside promenade, and witness the Bay of Bengal playfully splashing the shores of the famous Rock beach.']"
dehradun,01-Feb,Hotel Rajpur Heights,2169,4,"[' Dehradun is the capital city and the largest city of Uttarakhand. Dehradun is located at an altitude of 1400 feet above sea level and has a pleasant climate all year round. Located just 30kms from Mussoorie, Dehradun is known as the gateway to Mussoorie and Rishikesh and Haridwar. Dehradun is also known as the ""Educational Hub of Uttarakhand"" with some of the country\'s prestigious universities and boarding schools.', '', "" As you would expect from a city located in the foothills of the Himalayas, Dehradun abounds in caves, waterfalls and natural springs. One such popular spot is Robber's Cave, which is a natural cave surrounded by hills. Dip your feet in the ice-cold water or walk through it - travellers are free to take their pick, making Robber's Cave one of the most popular picnic spots in the city. Another popular spot for nature lovers is Lacchiwala, where you can sit and enjoy a relaxing sunset around the man-made lake and the lush greenery around it. Lacchiwala also has arrangements for trekking and birdwatching if you're up for it.""]"
ghaziabad,,Hotel Krishna Sagar NH 24,2170,3.7,
coimbatore,01-Feb,"HOTEL VIJAY PARK INN, RAMNAGAR, COIMBATORE, TAMILNADU",2177,4.1,"["" Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temples to classy new buildings, from breathtaking mountains to jaw-dropping waterfalls, from mouth-watering cuisine to pleasant weather all year round, Coimbatore has everything you could possibly need to make for a perfect holiday experience. Coimbatore is home to a massive 112 feet tall statue of Lord Shiva, known as the Adiyogi Shiva Statue. Featured in the Guinness Book of World Records, this architectural masterpiece is a very popular tourist spot in Coimbatore and stands as a symbol of self-transformation and inner peace. "", '', ' Camping and trekking are very popular things to do in Coimbatore, so if you’re looking for a thrill, don’t forget to check out the most exciting trekking trails that the city has to offer, such as the Dhoni Hills, the Vellari Mala, the Perumal Peak, and the Thalaiyar Falls trek. The official name of Coimbatore has been changed to Koyampuththoor. It was done to change the name of the city closer its original name in Tamil.']"
vadodara,,Comfort Inn Donil,2179,3.8,
durgapur,,The Damodar Retreat,2183,4.6,
gandhinagar,,7 Wonders Hotel & Restaurant,2190,4.1,
gwalior,01-Feb,Hotel Ambience,2191,3.9,"[' Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.""]"
gwalior,01-Feb,Hotel Ambience,2191,3.9,"[' Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.""]"
kanyakumari,01-Feb,Sparsa Kanyakumari,2192,3.8,"[' Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin.  Kanyakumari offers the marvellous confluence of the Bay of Bengal, the Arabian Sea and the Indian ocean meeting together at a point. But, this is not a miracle, the miracle lies in the beauty that the water of three seas does not mix, you can clearly distinguish between the turquoise blue, deep blue and sea green waters of the three seas. To enjoy the best view of sunset and sunrise, you can visit the Triveni Sangam point and the famous View tower.The town has a mountainous terrain with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach. The town is not only popular for its unique phenomenon but also its temples and the Vivekananda Rock Memorial among other iconic monuments.Waterfalls in Kanyakumari that you should not miss out on include the Thirparappu falls, the Courtallam Falls, and the Olakaruvi falls. Kanyakumari has authentic South Indian cuisine, with seafood and coconuts being an integral part of almost all dishes.']"
mysore,01-Feb,Livaana (Formerly known as Vivaana),2193,3.8,"[' Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit.', '', ' Mysore was one of the three largest Princely States in the erstwhile British Empire of India. To this day, the Mysore Palace stands tall as one of the most spectacular palaces in India. A very famous tourist spot that sees thousands of visitors milling in and around it every day, the Mysore Palace is a mesmerizing example of Indo-Saracenic architecture, every inch of the palace drips with opulence and intricate details, and every room that you visit stands out in terms of its elaborate architecture, beautiful paintings, rich colours and stained-glass windows. On every Sunday, and during the Dussehra celebrations, the palace is spectacularly lit up once dusk falls.Another popular element in Mysore is the Ashtanga School of Yoga. This draws visitors and practitioners from around the world to participate in this style of yoga that originated in Mysore. ']"
gandhinagar,,Hotel President Inn,2194,3.8,
mysore,01-Feb,Tulips Homestay | Studio Rooms & Wi-Fi,2195,4.3,"[' Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit.', '', ' Mysore was one of the three largest Princely States in the erstwhile British Empire of India. To this day, the Mysore Palace stands tall as one of the most spectacular palaces in India. A very famous tourist spot that sees thousands of visitors milling in and around it every day, the Mysore Palace is a mesmerizing example of Indo-Saracenic architecture, every inch of the palace drips with opulence and intricate details, and every room that you visit stands out in terms of its elaborate architecture, beautiful paintings, rich colours and stained-glass windows. On every Sunday, and during the Dussehra celebrations, the palace is spectacularly lit up once dusk falls.Another popular element in Mysore is the Ashtanga School of Yoga. This draws visitors and practitioners from around the world to participate in this style of yoga that originated in Mysore. ']"
nashik,02-Mar,Raghunandan Resort,2195,4.2,"[' Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination.Nashik (Nasik), named after a relic associated with Ramayana, is a city in Maharashtra located on the banks of river Godavari. Nashik plays host to the famous Kumbh Mela every 12 years. The city is home to plenty of exotic temples and is known in Hindu mythology as the place where Ravana's sister, Surpanakha, tried to seduce Lord Ram and got her nose cut off by Lakshman in the process. Its religious importance doesn't end there. It also plays host to the thousands of tourists visiting Shirdi and Trimbakeshwar. Apart from its temples, Nashik also has forts, waterfalls and vineyards to look out for. With multiple vineyards present in Nashik, the most popular being Sula, the wine-tourism industry is mushrooming in this part of Maharashtra. Nashik gives you the chance to experience a fabulous cocktail of extremes - from temples to vineyards, hills to waterfalls, this place offers a lot to see.""]"
aurangabad,03-Apr,Hotel Grand Ecotel,2204,4.2,"[' Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th century AD. The town is used as the base to explore the extremely famous caves of Ajanta and Ellora, Daulatabad Fort which is renowned for its strong defence systems, Mausoleums of Aurangzeb and Bibi-Ka-Maqbara famous for its architecture and Grishneshwar Temple, one of the only 12 Shiva Jyotirlingas in India.', '', ' From UNESCO World Heritage Sites to bustling markets brimming with delicate silk items and exquisite hand-woven garments, Aurangabad promises all tourists an exciting holiday experience. While the city is rapidly heading towards industrial growth and globalisation, it still retains most of its past glory, heritage, charms and traditions.The most famous tourist attraction of Aurangabad is the Ajanta and Ellora Caves. Declared a World Heritage Site by UNESCO, the Ajanta Caves is home to 29 different caves, all of which showcase Buddhist artwork belonging to the period ranging from 200 B.C to 650 A.D. All paintings and sculptures in the caves were constructed painstakingly by Buddhist monks using only simple tools such as chisels and hammers. These paintings and sculptures portray a varied range of stories, starting from the Jataka Tales to intriguing accounts of ancient nymphs and princesses. The Ellora Caves, a little distance away from the Ajanta Caves, houses a total of 34 caves and has sculptures and paintings depicting not one, but three different religions – Hinduism, Buddhism and Jainism. The sheer diversity of the sculptures, the architectural expertise, and the centuries of hard work undertaken by artisans are enough to leave you speechless.The sole remaining example of Mughal architecture in this part of the country, Bibi ka Maqbara is a mausoleum dedicated to Rabia-ul-Daurani, wife of Mughal Emperor Aurangzeb. Designed by the Persian architect Ustad-Ata-Ullah, Bibi ka Maqbara has a structure similar to that of the Taj Mahal, with the main structure bordered by four towering minarets on four sides. The entire building is a sight to behold, and sunrises and sunsets are resplendent, with the rays of the sun beautifully casting the reflection of the mausoleum on the water of the canal in front of the building.Aurangabad is also home to temples such as the Jyothirlinga Grishneshwar temple and the Bhadra Maruti Temple, both of which have legends and myths of their own.Siddharth Garden is a place that all nature lovers will be mesmerized by. A landscaped garden housing a wide variety of sculpted trees and shrubs, the Siddharth Garden is also home to wild creatures such as lions, tigers, leopards, deer, and hyena. Sitting back on the green lawns of the garden and enjoying a beautiful picnic is a very popular tourist activity here.The erstwhile Mughal capital has retained most of its traditional Tughlaq cuisine, with Tandoors and Kebabs being local staples that you will find at almost every roadside eatery.Known for its arts and crafts, and especially its silk, Aurangabad has plenty of markets from where you can buy various local handicrafts, exotic gems, shawls, and of course, the region’s famous paithani silk sarees.']"
ranchi,,Treebo Trend Archie Regency,2205,4,
kanyakumari,01-Feb,Hotel Tri Sea,2215,4.1,"[' Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin.  Kanyakumari offers the marvellous confluence of the Bay of Bengal, the Arabian Sea and the Indian ocean meeting together at a point. But, this is not a miracle, the miracle lies in the beauty that the water of three seas does not mix, you can clearly distinguish between the turquoise blue, deep blue and sea green waters of the three seas. To enjoy the best view of sunset and sunrise, you can visit the Triveni Sangam point and the famous View tower.The town has a mountainous terrain with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach. The town is not only popular for its unique phenomenon but also its temples and the Vivekananda Rock Memorial among other iconic monuments.Waterfalls in Kanyakumari that you should not miss out on include the Thirparappu falls, the Courtallam Falls, and the Olakaruvi falls. Kanyakumari has authentic South Indian cuisine, with seafood and coconuts being an integral part of almost all dishes.']"
nashik,02-Mar,Itsy by Treebo - Oasis Pride,2217,4,"[' Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination.Nashik (Nasik), named after a relic associated with Ramayana, is a city in Maharashtra located on the banks of river Godavari. Nashik plays host to the famous Kumbh Mela every 12 years. The city is home to plenty of exotic temples and is known in Hindu mythology as the place where Ravana's sister, Surpanakha, tried to seduce Lord Ram and got her nose cut off by Lakshman in the process. Its religious importance doesn't end there. It also plays host to the thousands of tourists visiting Shirdi and Trimbakeshwar. Apart from its temples, Nashik also has forts, waterfalls and vineyards to look out for. With multiple vineyards present in Nashik, the most popular being Sula, the wine-tourism industry is mushrooming in this part of Maharashtra. Nashik gives you the chance to experience a fabulous cocktail of extremes - from temples to vineyards, hills to waterfalls, this place offers a lot to see.""]"
lucknow,01-Feb,Hotel Golden Orchid,2218,4,"[' The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nutshell for you. From a slice of rich colonial history to modernized museums, this artistic hub of Awadh region beautifully brings together the opulence of a glittering past and the simplicity of a modern city.', '', "" Rumi Darwaza, the Mughal Gateway built in the centre of the capital divides Lucknow into 'Old Lucknow' which is ancient, and more crowded, and the 'New Lucknow' which is urban and one of the most planned cities of Asia. Most of Old Lucknow is well-known for its bustling vibrant streets, authentic, mouth-watering kebab and biriyani outlets, lakhnavi chikan market, and the wholesale jewellery stores.New Lucknow, on the other hand, hosts people of varied cultures and is structurally planned with wide roads, shopping malls and parks built to serve diverse entertainment purposes. The most famous among these parks are the Ambedkar Park and the Gomti Riverfront Park, both ideal places for visiting and strolling around with friends and family in the evening. Hazratganj, a major shopping area located in the heart of Lucknow, is famous for its 'chaat' and 'kulfi' eateries, posh Mughlai restaurants, and various shopping complexes. All the buildings in Hazratganj have a distinct Victorian architecture, and you can shop for literally anything – starting from inexpensive accessories and trinkets to high-end clothes, shoes and jewellery. The people of Lucknow are known for their courtly manners and endearing 'pehle aap' (you first) culture, which always leaves behind a smile on the faces of its visitors. ""]"
amravati,,Hotel Gouri Inn,2225,3.9,
chandigarh,01-Feb,Hotel Royal Park 22,2231,4.3,"["" Chandigarh is a union territory that is the capital of both Punjab, as well as, Haryana. India's first planned city, Chandigarh is traditionally a Punjabi city at heart with a healthy dose of modernity; Chandigarh's food and gedi culture (a leisure drive or ride the city) is what the capital is known for! Located at a distance of 265 km from Delhi, Chandigarh is one of the popular weekend road trip destinations and other major cities but also acts as an important staging point when one heads to destinations in Himachal Pradesh and Jammu and Kashmir."", '', "" A favourite activity of the locals at Chandigarh is boating at the beautiful Sukhna Lake. However, the other important attractions in the city are the Rock Garden, the Leisure Valley & Rose Garden. Chandigarh's Rock Garden is very well known for being entirely designed out of discarded industrial and urban waste, while the Leisure Valley is an 8-kilometre-long well-maintained park that houses Asia's most extensive rose garden, a very popular draw among tourists and locals alike.Another famous place to visit in Chandigarh is the Capitol complex, often referred to as Le Corbusier Centre. Earlier used as Le Corbusier's base, this UNESCO World Heritage Site has now been converted into a museum, and tourists are free to visit it. The Capitol is also home to the state's Vidhan Sabha, High Court, and Secretariat.""]"
vijayawada,,Treebo Trend C Plaza - MG Road Vijayawada,2235,4.3,
ghaziabad,,"Luxury Stay in Mall with PVR, Shopper Stop, Lifestyle, Food Court With All Brands",2237,2.6,
indore,,JMC HOTEL S GRANDE INDORE,2239,4.6,
mangalore,,Hotel Heraa International - The Heraa Inn,2239,4.6,
gandhinagar,,HOTEL HILL CITY,2240,4.4,
gandhinagar,,Hotel Om Inn,2240,4.9,
gandhinagar,,Hotel Om Inn,2240,4.9,
kanyakumari,01-Feb,The Gopinivas Grand,2240,4.5,"[' Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin.  Kanyakumari offers the marvellous confluence of the Bay of Bengal, the Arabian Sea and the Indian ocean meeting together at a point. But, this is not a miracle, the miracle lies in the beauty that the water of three seas does not mix, you can clearly distinguish between the turquoise blue, deep blue and sea green waters of the three seas. To enjoy the best view of sunset and sunrise, you can visit the Triveni Sangam point and the famous View tower.The town has a mountainous terrain with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach. The town is not only popular for its unique phenomenon but also its temples and the Vivekananda Rock Memorial among other iconic monuments.Waterfalls in Kanyakumari that you should not miss out on include the Thirparappu falls, the Courtallam Falls, and the Olakaruvi falls. Kanyakumari has authentic South Indian cuisine, with seafood and coconuts being an integral part of almost all dishes.']"
aurangabad,03-Apr,7 Apple Hotel - Aurangabad,2244,4,"[' Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th century AD. The town is used as the base to explore the extremely famous caves of Ajanta and Ellora, Daulatabad Fort which is renowned for its strong defence systems, Mausoleums of Aurangzeb and Bibi-Ka-Maqbara famous for its architecture and Grishneshwar Temple, one of the only 12 Shiva Jyotirlingas in India.', '', ' From UNESCO World Heritage Sites to bustling markets brimming with delicate silk items and exquisite hand-woven garments, Aurangabad promises all tourists an exciting holiday experience. While the city is rapidly heading towards industrial growth and globalisation, it still retains most of its past glory, heritage, charms and traditions.The most famous tourist attraction of Aurangabad is the Ajanta and Ellora Caves. Declared a World Heritage Site by UNESCO, the Ajanta Caves is home to 29 different caves, all of which showcase Buddhist artwork belonging to the period ranging from 200 B.C to 650 A.D. All paintings and sculptures in the caves were constructed painstakingly by Buddhist monks using only simple tools such as chisels and hammers. These paintings and sculptures portray a varied range of stories, starting from the Jataka Tales to intriguing accounts of ancient nymphs and princesses. The Ellora Caves, a little distance away from the Ajanta Caves, houses a total of 34 caves and has sculptures and paintings depicting not one, but three different religions – Hinduism, Buddhism and Jainism. The sheer diversity of the sculptures, the architectural expertise, and the centuries of hard work undertaken by artisans are enough to leave you speechless.The sole remaining example of Mughal architecture in this part of the country, Bibi ka Maqbara is a mausoleum dedicated to Rabia-ul-Daurani, wife of Mughal Emperor Aurangzeb. Designed by the Persian architect Ustad-Ata-Ullah, Bibi ka Maqbara has a structure similar to that of the Taj Mahal, with the main structure bordered by four towering minarets on four sides. The entire building is a sight to behold, and sunrises and sunsets are resplendent, with the rays of the sun beautifully casting the reflection of the mausoleum on the water of the canal in front of the building.Aurangabad is also home to temples such as the Jyothirlinga Grishneshwar temple and the Bhadra Maruti Temple, both of which have legends and myths of their own.Siddharth Garden is a place that all nature lovers will be mesmerized by. A landscaped garden housing a wide variety of sculpted trees and shrubs, the Siddharth Garden is also home to wild creatures such as lions, tigers, leopards, deer, and hyena. Sitting back on the green lawns of the garden and enjoying a beautiful picnic is a very popular tourist activity here.The erstwhile Mughal capital has retained most of its traditional Tughlaq cuisine, with Tandoors and Kebabs being local staples that you will find at almost every roadside eatery.Known for its arts and crafts, and especially its silk, Aurangabad has plenty of markets from where you can buy various local handicrafts, exotic gems, shawls, and of course, the region’s famous paithani silk sarees.']"
durgapur,,Morvee Hotels Durgapur,2245,4.4,
durgapur,,Morvee Hotels Durgapur,2245,4.4,
amritsar,02-Mar,Hotel Sapphire Opposite Golden Temple,2246,4.1,"[' Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street food. Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar\'s resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border.  From Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries.A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name is first the ancient lake, then the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India.']"
ghaziabad,,Hotel Royal Park,2258,3.6,
pondicherry,02-Mar,Prince Park Farm House,2258,3.9,"[' Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities and French architecture, making it a dreamy escape that offers the best of both worlds.', '', ' The streets of the French Quarter of Pondicherry, also known as White Town, are dotted with charming mustard-yellow colonial structures with bougainvillaea laden walls. These are interspersed with cosy cafes and chic boutiques that offer delectable French cuisine and beverages. Simply strolling down these streets, can give the traveller an insight into the fairytale charm of Pondicherry.Topped with authentic French bakeries, bohemian stores and cobble-stoned paths that are delightful for a leisurely stroll or a bicycle ride, Pondicherry has a lot to offer. So head on down to this dream town of the Indian Coast and chug a few beers (at the Union Territory prices; bid adieu to state taxes) or just read a book in one of the quaint cafes.Come explore the boulevards and rues (the French word for streets) of Pondicherry that will ultimately take you down to the gorgeous seaside promenade, and witness the Bay of Bengal playfully splashing the shores of the famous Rock beach.']"
indore,,Hotel Solaris,2259,4,
jamshedpur,,Hotel Grand Residency,2281,4,
jamshedpur,,The Onyx Hotel - Hotel in Jamshedpur,2284,4.3,
dehradun,01-Feb,Mango Tree Courtyard,2285,4.7,"[' Dehradun is the capital city and the largest city of Uttarakhand. Dehradun is located at an altitude of 1400 feet above sea level and has a pleasant climate all year round. Located just 30kms from Mussoorie, Dehradun is known as the gateway to Mussoorie and Rishikesh and Haridwar. Dehradun is also known as the ""Educational Hub of Uttarakhand"" with some of the country\'s prestigious universities and boarding schools.', '', "" As you would expect from a city located in the foothills of the Himalayas, Dehradun abounds in caves, waterfalls and natural springs. One such popular spot is Robber's Cave, which is a natural cave surrounded by hills. Dip your feet in the ice-cold water or walk through it - travellers are free to take their pick, making Robber's Cave one of the most popular picnic spots in the city. Another popular spot for nature lovers is Lacchiwala, where you can sit and enjoy a relaxing sunset around the man-made lake and the lush greenery around it. Lacchiwala also has arrangements for trekking and birdwatching if you're up for it.""]"
meerut,,Hotel Samrat Heavens,2289,3.6,
kashmir,,Hotel Taj Residency,2290,3.8,
meerut,,Hotel Samrat Heavens,2298,3.6,
nagpur,,"RSVP NAGPUR(Restro-bar,Rooftop & Rooms)",2300,4,
ranchi,,Treebo Trend Winsome Banquet And Resort,2304,4.6,
ranchi,,Treebo Trend Winsome Banquet And Resort,2304,4.6,
amritsar,02-Mar,Amritsar Grand Hotel By Levelup Hotels,2306,4.8,"[' Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street food. Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar\'s resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border.  From Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries.A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name is first the ancient lake, then the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India.']"
